id_asistencia,id_alumno,id_grupo,fecha_clase,presente
290,A0007,G4,2024-09-13,si
291,A0007,G4,2024-09-20,si
292,A0007,G4,2024-09-20,si
293,A0007,G4,2024-09-27,si
294,A0007,G4,2024-09-27,si
295,A0007,G4,2024-10-04,si
296,A0007,G4,2024-10-04,si
297,A0007,G4,2024-10-11,no
298,A0007,G4,2024-10-11,si
299,A0007,G4,2024-10-18,si
300,A0007,G4,2024-10-18,si
301,A0007,G4,2024-10-25,si
302,A0007,G4,2024-10-25,si
303,A0007,G4,2024-11-01,si
304,A0007,G4,2024-11-01,si
305,A0007,G4,2024-11-08,si
306,A0007,G4,2024-11-08,si
307,A0007,G4,2024-11-15,si
308,A0007,G4,2024-11-15,si
309,A0007,G4,2024-11-22,si
310,A0007,G4,2024-11-22,si
311,A0007,G4,2024-11-29,si
312,A0007,G4,2024-11-29,si
313,A0007,G4,2024-12-06,no
314,A0007,G4,2024-12-06,si
315,A0007,G4,2024-12-13,no
316,A0007,G4,2024-12-13,no
317,A0007,G4,2024-12-20,no
318,A0007,G4,2024-12-20,si
319,A0007,G4,2024-12-27,no
320,A0007,G4,2024-12-27,no
321,A0008,G4,2024-04-10,si
322,A0008,G4,2024-04-10,no
323,A0008,G4,2024-04-17,si
324,A0008,G4,2024-04-17,si
325,A0008,G4,2024-04-24,si
326,A0008,G4,2024-04-24,si
327,A0008,G4,2024-05-01,no
328,A0008,G4,2024-05-01,no
329,A0008,G4,2024-05-08,si
330,A0008,G4,2024-05-08,no
331,A0008,G4,2024-05-15,si
332,A0008,G4,2024-05-15,si
333,A0008,G4,2024-05-22,si
334,A0008,G4,2024-05-22,no
335,A0008,G4,2024-05-29,no
336,A0008,G4,2024-05-29,si
337,A0008,G4,2024-06-05,si
338,A0008,G4,2024-06-05,si
339,A0008,G4,2024-06-12,si
340,A0008,G4,2024-06-12,si
341,A0008,G4,2024-06-19,si
342,A0008,G4,2024-06-19,si
343,A0008,G4,2024-06-26,si
344,A0008,G4,2024-06-26,si
345,A0008,G4,2024-07-03,no
346,A0008,G4,2024-07-03,si
347,A0008,G4,2024-07-10,no
348,A0008,G4,2024-07-10,no
349,A0008,G4,2024-07-17,si
350,A0008,G4,2024-07-17,si
351,A0008,G4,2024-07-24,no
352,A0008,G4,2024-07-24,si
353,A0008,G4,2024-07-31,si
354,A0008,G4,2024-07-31,si
355,A0008,G4,2024-08-07,si
356,A0008,G4,2024-08-07,si
357,A0008,G4,2024-08-14,si
358,A0008,G4,2024-08-14,si
359,A0008,G4,2024-08-21,si
360,A0008,G4,2024-08-21,si
361,A0008,G4,2024-08-28,si
362,A0008,G4,2024-08-28,si
363,A0008,G4,2024-09-04,si
364,A0008,G4,2024-09-04,si
365,A0008,G4,2024-09-11,si
366,A0008,G4,2024-09-11,si
367,A0008,G4,2024-09-18,si
368,A0008,G4,2024-09-18,si
369,A0008,G4,2024-09-25,no
370,A0008,G4,2024-09-25,si
371,A0008,G4,2024-10-02,si
372,A0008,G4,2024-10-02,si
373,A0008,G4,2024-10-09,si
374,A0008,G4,2024-10-09,no
375,A0008,G4,2024-10-16,si
376,A0008,G4,2024-10-16,si
377,A0008,G4,2024-10-23,si
378,A0008,G4,2024-10-23,si
379,A0008,G4,2024-10-30,no
380,A0008,G4,2024-10-30,no
381,A0008,G4,2024-11-06,no
382,A0008,G4,2024-11-06,si
383,A0008,G4,2024-11-13,no
384,A0008,G4,2024-11-13,si
385,A0008,G4,2024-11-20,si
386,A0008,G4,2024-11-20,si
387,A0008,G4,2024-11-27,si
388,A0008,G4,2024-11-27,si
389,A0008,G4,2024-12-04,si
390,A0008,G4,2024-12-04,si
391,A0008,G4,2024-12-11,si
392,A0008,G4,2024-12-11,si
393,A0008,G4,2024-12-18,si
394,A0008,G4,2024-12-18,si
395,A0008,G4,2024-12-25,si
396,A0008,G4,2024-12-25,si
397,A0008,G4,2025-01-01,si
398,A0008,G4,2025-01-01,si
399,A0008,G4,2025-01-08,si
400,A0008,G4,2025-01-08,si
401,A0008,G4,2025-01-15,si
402,A0008,G4,2025-01-15,si
403,A0008,G4,2025-01-22,si
404,A0008,G4,2025-01-22,si
405,A0008,G4,2025-01-29,si
406,A0008,G4,2025-01-29,si
407,A0008,G4,2025-02-05,no
408,A0008,G4,2025-02-05,si
409,A0008,G4,2025-02-12,no
410,A0008,G4,2025-02-12,no
411,A0008,G4,2025-02-19,no
412,A0008,G4,2025-02-19,no
413,A0008,G4,2025-02-26,no
414,A0008,G4,2025-02-26,no
415,A0008,G4,2025-03-05,si
416,A0008,G4,2025-03-05,si
417,A0009,G6,2024-04-05,si
418,A0009,G6,2024-04-12,no
419,A0009,G6,2024-04-19,si
420,A0009,G6,2024-04-26,si
421,A0009,G6,2024-05-03,no
422,A0009,G6,2024-05-10,si
423,A0009,G6,2024-05-17,si
424,A0009,G6,2024-05-24,no
425,A0009,G6,2024-05-31,no
426,A0010,G6,2025-05-02,si
427,A0010,G6,2025-05-09,si
428,A0010,G6,2025-05-16,si
429,A0010,G6,2025-05-23,no
430,A0010,G6,2025-05-30,si
431,A0010,G6,2025-06-06,si
432,A0010,G6,2025-06-13,si
433,A0010,G6,2025-06-20,no
434,A0010,G6,2025-06-27,si
435,A0010,G6,2025-07-04,si
436,A0010,G6,2025-07-11,si
437,A0010,G6,2025-07-18,si
438,A0010,G6,2025-07-25,si
439,A0010,G6,2025-08-01,si
440,A0010,G6,2025-08-08,no
441,A0010,G6,2025-08-15,si
442,A0011,G2,2025-02-07,no
443,A0011,G2,2025-02-07,si
444,A0011,G2,2025-02-14,si
445,A0011,G2,2025-02-14,si
446,A0011,G2,2025-02-21,no
447,A0011,G2,2025-02-21,no
448,A0011,G2,2025-02-28,si
449,A0011,G2,2025-02-28,si
450,A0011,G2,2025-03-07,si
451,A0011,G2,2025-03-07,si
452,A0011,G2,2025-03-14,no
453,A0011,G2,2025-03-14,si
454,A0011,G2,2025-03-21,si
455,A0011,G2,2025-03-21,no
456,A0011,G2,2025-03-28,si
457,A0011,G2,2025-03-28,si
458,A0011,G2,2025-04-04,si
459,A0011,G2,2025-04-04,si
460,A0011,G2,2025-04-11,si
461,A0011,G2,2025-04-11,si
462,A0011,G2,2025-04-18,si
463,A0011,G2,2025-04-18,si
464,A0011,G2,2025-04-25,si
465,A0011,G2,2025-04-25,si
466,A0011,G2,2025-05-02,si
467,A0011,G2,2025-05-02,no
468,A0011,G2,2025-05-09,no
469,A0011,G2,2025-05-09,si
470,A0011,G2,2025-05-16,si
471,A0011,G2,2025-05-16,si
472,A0011,G2,2025-05-23,no
473,A0011,G2,2025-05-23,si
474,A0011,G2,2025-05-30,si
475,A0011,G2,2025-05-30,si
476,A0011,G2,2025-06-06,si
477,A0011,G2,2025-06-06,si
478,A0011,G2,2025-06-13,si
479,A0011,G2,2025-06-13,si
480,A0011,G2,2025-06-20,si
481,A0011,G2,2025-06-20,si
482,A0011,G2,2025-06-27,si
483,A0011,G2,2025-06-27,si
484,A0011,G2,2025-07-04,si
485,A0011,G2,2025-07-04,no
486,A0011,G2,2025-07-11,no
487,A0011,G2,2025-07-11,si
488,A0011,G2,2025-07-18,no
489,A0011,G2,2025-07-18,no
490,A0011,G2,2025-07-25,no
491,A0011,G2,2025-07-25,no
492,A0011,G2,2025-08-01,si
493,A0011,G2,2025-08-01,no
494,A0012,G2,2024-11-29,si
495,A0012,G2,2024-11-29,no
496,A0012,G2,2024-12-06,si
497,A0012,G2,2024-12-06,si
498,A0012,G2,2024-12-13,si
499,A0012,G2,2024-12-13,si
500,A0012,G2,2024-12-20,si
501,A0012,G2,2024-12-20,no
502,A0012,G2,2024-12-27,si
503,A0012,G2,2024-12-27,si
504,A0012,G2,2025-01-03,si
505,A0012,G2,2025-01-03,si
506,A0012,G2,2025-01-10,si
507,A0012,G2,2025-01-10,si
508,A0012,G2,2025-01-17,si
509,A0012,G2,2025-01-17,si
510,A0012,G2,2025-01-24,si
511,A0012,G2,2025-01-24,si
512,A0012,G2,2025-01-31,si
513,A0012,G2,2025-01-31,si
514,A0012,G2,2025-02-07,si
515,A0012,G2,2025-02-07,si
516,A0012,G2,2025-02-14,no
517,A0012,G2,2025-02-14,si
518,A0012,G2,2025-02-21,no
519,A0012,G2,2025-02-21,si
520,A0012,G2,2025-02-28,no
521,A0012,G2,2025-02-28,si
522,A0012,G2,2025-03-07,si
523,A0012,G2,2025-03-07,si
524,A0012,G2,2025-03-14,si
525,A0012,G2,2025-03-14,si
526,A0012,G2,2025-03-21,si
527,A0012,G2,2025-03-21,si
528,A0012,G2,2025-03-28,no
529,A0012,G2,2025-03-28,si
530,A0012,G2,2025-04-04,si
531,A0012,G2,2025-04-04,si
532,A0012,G2,2025-04-11,si
533,A0012,G2,2025-04-11,si
534,A0012,G2,2025-04-18,si
535,A0012,G2,2025-04-18,si
536,A0012,G2,2025-04-25,si
537,A0012,G2,2025-04-25,si
538,A0012,G2,2025-05-02,no
539,A0012,G2,2025-05-02,si
540,A0012,G2,2025-05-09,si
541,A0012,G2,2025-05-09,si
542,A0012,G2,2025-05-16,no
543,A0012,G2,2025-05-16,no
544,A0012,G2,2025-05-23,si
545,A0012,G2,2025-05-23,no
546,A0012,G2,2025-05-30,si
547,A0012,G2,2025-05-30,si
548,A0012,G2,2025-06-06,si
549,A0012,G2,2025-06-06,si
550,A0012,G2,2025-06-13,si
551,A0012,G2,2025-06-13,si
552,A0012,G2,2025-06-20,si
553,A0012,G2,2025-06-20,si
554,A0012,G2,2025-06-27,si
555,A0012,G2,2025-06-27,si
556,A0012,G2,2025-07-04,si
557,A0012,G2,2025-07-04,si
558,A0012,G2,2025-07-11,si
559,A0012,G2,2025-07-11,si
560,A0012,G2,2025-07-18,si
561,A0012,G2,2025-07-18,si
562,A0012,G2,2025-07-25,si
563,A0012,G2,2025-07-25,si
564,A0012,G2,2025-08-01,si
565,A0012,G2,2025-08-01,si
566,A0012,G2,2025-08-08,si
567,A0012,G2,2025-08-08,si
568,A0012,G2,2025-08-15,si
569,A0012,G2,2025-08-15,si
570,A0013,G4,2024-07-17,si
571,A0013,G4,2024-07-17,no
572,A0013,G4,2024-07-24,si
573,A0013,G4,2024-07-24,si
574,A0013,G4,2024-07-31,si
575,A0013,G4,2024-07-31,si
576,A0013,G4,2024-08-07,si
577,A0013,G4,2024-08-07,si
578,A0013,G4,2024-08-14,no
579,A0013,G4,2024-08-14,si
580,A0013,G4,2024-08-21,si
581,A0013,G4,2024-08-21,si
582,A0013,G4,2024-08-28,si
583,A0013,G4,2024-08-28,si
584,A0013,G4,2024-09-04,si
585,A0013,G4,2024-09-04,si
586,A0013,G4,2024-09-11,no
587,A0013,G4,2024-09-11,si
588,A0013,G4,2024-09-18,no
589,A0013,G4,2024-09-18,si
590,A0013,G4,2024-09-25,si
591,A0013,G4,2024-09-25,si
592,A0013,G4,2024-10-02,si
593,A0013,G4,2024-10-02,si
594,A0013,G4,2024-10-09,si
595,A0013,G4,2024-10-09,si
596,A0013,G4,2024-10-16,si
597,A0013,G4,2024-10-16,si
598,A0013,G4,2024-10-23,si
599,A0013,G4,2024-10-23,si
600,A0013,G4,2024-10-30,si
601,A0013,G4,2024-10-30,si
602,A0013,G4,2024-11-06,si
603,A0013,G4,2024-11-06,si
604,A0013,G4,2024-11-13,si
605,A0013,G4,2024-11-13,si
606,A0013,G4,2024-11-20,no
607,A0013,G4,2024-11-20,si
608,A0013,G4,2024-11-27,si
609,A0013,G4,2024-11-27,no
610,A0013,G4,2024-12-04,si
611,A0013,G4,2024-12-04,si
612,A0013,G4,2024-12-11,si
613,A0013,G4,2024-12-11,si
614,A0013,G4,2024-12-18,si
615,A0013,G4,2024-12-18,si
616,A0013,G4,2024-12-25,si
617,A0013,G4,2024-12-25,si
618,A0013,G4,2025-01-01,si
619,A0013,G4,2025-01-01,si
620,A0013,G4,2025-01-08,si
621,A0013,G4,2025-01-08,si
622,A0013,G4,2025-01-15,si
623,A0013,G4,2025-01-15,si
624,A0013,G4,2025-01-22,si
625,A0013,G4,2025-01-22,si
626,A0013,G4,2025-01-29,si
627,A0013,G4,2025-01-29,si
628,A0013,G4,2025-02-05,si
629,A0013,G4,2025-02-05,si
630,A0013,G4,2025-02-12,si
631,A0013,G4,2025-02-12,si
632,A0013,G4,2025-02-19,si
633,A0013,G4,2025-02-19,no
634,A0013,G4,2025-02-26,si
635,A0013,G4,2025-02-26,no
636,A0013,G4,2025-03-05,si
637,A0013,G4,2025-03-05,si
638,A0013,G4,2025-03-12,si
639,A0013,G4,2025-03-12,si
640,A0013,G4,2025-03-19,si
641,A0013,G4,2025-03-19,si
642,A0013,G4,2025-03-26,si
643,A0013,G4,2025-03-26,si
644,A0013,G4,2025-04-02,no
645,A0013,G4,2025-04-02,si
646,A0013,G4,2025-04-09,si
647,A0013,G4,2025-04-09,si
648,A0013,G4,2025-04-16,si
649,A0013,G4,2025-04-16,si
650,A0013,G4,2025-04-23,si
651,A0013,G4,2025-04-23,si
652,A0013,G4,2025-04-30,si
653,A0013,G4,2025-04-30,si
654,A0013,G4,2025-05-07,no
655,A0013,G4,2025-05-07,si
656,A0013,G4,2025-05-14,si
657,A0013,G4,2025-05-14,si
658,A0013,G4,2025-05-21,si
659,A0013,G4,2025-05-21,si
660,A0013,G4,2025-05-28,si
661,A0013,G4,2025-05-28,si
662,A0013,G4,2025-06-04,si
663,A0013,G4,2025-06-04,no
664,A0013,G4,2025-06-11,si
665,A0013,G4,2025-06-11,si
666,A0013,G4,2025-06-18,si
667,A0013,G4,2025-06-18,si
668,A0013,G4,2025-06-25,si
669,A0013,G4,2025-06-25,no
670,A0013,G4,2025-07-02,si
671,A0013,G4,2025-07-02,no
672,A0013,G4,2025-07-09,si
673,A0013,G4,2025-07-09,no
674,A0013,G4,2025-07-16,si
675,A0013,G4,2025-07-16,si
676,A0013,G4,2025-07-23,si
677,A0013,G4,2025-07-23,si
678,A0013,G4,2025-07-30,si
679,A0013,G4,2025-07-30,si
680,A0013,G4,2025-08-06,si
681,A0013,G4,2025-08-06,si
682,A0013,G4,2025-08-13,si
683,A0013,G4,2025-08-13,si
684,A0014,G5,2024-06-21,si
685,A0014,G5,2024-06-21,si
686,A0014,G5,2024-06-28,si
687,A0014,G5,2024-06-28,no
688,A0014,G5,2024-07-05,si
689,A0014,G5,2024-07-05,si
690,A0014,G5,2024-07-12,si
691,A0014,G5,2024-07-12,si
692,A0014,G5,2024-07-19,no
693,A0014,G5,2024-07-19,si
694,A0014,G5,2024-07-26,si
695,A0014,G5,2024-07-26,no
696,A0014,G5,2024-08-02,si
697,A0014,G5,2024-08-02,si
698,A0014,G5,2024-08-09,si
699,A0014,G5,2024-08-09,si
700,A0014,G5,2024-08-16,no
701,A0014,G5,2024-08-16,si
702,A0014,G5,2024-08-23,si
703,A0014,G5,2024-08-23,si
704,A0014,G5,2024-08-30,no
705,A0014,G5,2024-08-30,si
706,A0014,G5,2024-09-06,si
707,A0014,G5,2024-09-06,si
708,A0014,G5,2024-09-13,si
709,A0014,G5,2024-09-13,no
710,A0014,G5,2024-09-20,si
711,A0014,G5,2024-09-20,si
712,A0014,G5,2024-09-27,si
713,A0014,G5,2024-09-27,no
714,A0014,G5,2024-10-04,si
715,A0014,G5,2024-10-04,si
716,A0014,G5,2024-10-11,si
717,A0014,G5,2024-10-11,si
718,A0014,G5,2024-10-18,si
719,A0014,G5,2024-10-18,si
720,A0014,G5,2024-10-25,si
721,A0014,G5,2024-10-25,si
722,A0014,G5,2024-11-01,si
723,A0014,G5,2024-11-01,si
724,A0014,G5,2024-11-08,no
725,A0014,G5,2024-11-08,no
726,A0014,G5,2024-11-15,si
727,A0014,G5,2024-11-15,si
728,A0014,G5,2024-11-22,si
729,A0014,G5,2024-11-22,si
730,A0014,G5,2024-11-29,no
731,A0014,G5,2024-11-29,si
732,A0014,G5,2024-12-06,si
733,A0014,G5,2024-12-06,si
734,A0014,G5,2024-12-13,si
735,A0014,G5,2024-12-13,si
736,A0014,G5,2024-12-20,si
737,A0014,G5,2024-12-20,si
738,A0014,G5,2024-12-27,si
739,A0014,G5,2024-12-27,si
740,A0014,G5,2025-01-03,si
741,A0014,G5,2025-01-03,si
742,A0014,G5,2025-01-10,no
743,A0014,G5,2025-01-10,no
744,A0014,G5,2025-01-17,no
745,A0014,G5,2025-01-17,si
746,A0014,G5,2025-01-24,si
747,A0014,G5,2025-01-24,si
748,A0014,G5,2025-01-31,si
749,A0014,G5,2025-01-31,si
750,A0014,G5,2025-02-07,no
751,A0014,G5,2025-02-07,si
752,A0014,G5,2025-02-14,si
753,A0014,G5,2025-02-14,si
754,A0014,G5,2025-02-21,no
755,A0014,G5,2025-02-21,si
756,A0014,G5,2025-02-28,si
757,A0014,G5,2025-02-28,si
758,A0014,G5,2025-03-07,si
759,A0014,G5,2025-03-07,si
760,A0014,G5,2025-03-14,si
761,A0014,G5,2025-03-14,si
762,A0014,G5,2025-03-21,si
763,A0014,G5,2025-03-21,no
764,A0014,G5,2025-03-28,si
765,A0014,G5,2025-03-28,si
766,A0014,G5,2025-04-04,si
767,A0014,G5,2025-04-04,si
768,A0014,G5,2025-04-11,si
769,A0014,G5,2025-04-11,si
770,A0014,G5,2025-04-18,no
771,A0014,G5,2025-04-18,si
772,A0014,G5,2025-04-25,si
773,A0014,G5,2025-04-25,si
774,A0014,G5,2025-05-02,si
